"Statistic","Year","Fuel Type","UNIT","VALUE"
"Fuels Used in Electricity Production","1995","Fuel Oil","ktoe","605"
"Fuels Used in Electricity Production","1995","LPG","ktoe","0"
"Fuels Used in Electricity Production","1995","Gasoil/diesel/DERV","ktoe","16"
"Fuels Used in Electricity Production","1995","Natural gas","ktoe","1063"
"Fuels Used in Electricity Production","1995","Sum of all renewable energies","ktoe","63"
"Fuels Used in Electricity Production","1995","Hydro","ktoe","61"
"Fuels Used in Electricity Production","1995","Wind","ktoe","1"
"Fuels Used in Electricity Production","1995","Biomass","ktoe","0"
"Fuels Used in Electricity Production","1995","Landfill gas","ktoe","0"
"Fuels Used in Electricity Production","1995","Biogas","ktoe","0"
"Fuels Used in Electricity Production","1995","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","1995","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","1995","Electricity net Imports","ktoe","-1"
"Fuels Used in Electricity Production","1996","Sum of all fuel products","ktoe","4079"
"Fuels Used in Electricity Production","1996","Sum of all coal products","ktoe","1490"
"Fuels Used in Electricity Production","1996","Bituminous coal","ktoe","1490"
"Fuels Used in Electricity Production","1996","Sum of all peat products","ktoe","577"
"Fuels Used in Electricity Production","1996","Milled peat","ktoe","554"
"Fuels Used in Electricity Production","1996","Sod peat","ktoe","23"
"Fuels Used in Electricity Production","1996","Sum of all petroleum products","ktoe","629"
"Fuels Used in Electricity Production","1996","Refinery gas","ktoe","4"
"Fuels Used in Electricity Production","1996","Fuel Oil","ktoe","616"
"Fuels Used in Electricity Production","1996","LPG","ktoe","0"
"Fuels Used in Electricity Production","1996","Gasoil/diesel/DERV","ktoe","9"
"Fuels Used in Electricity Production","1996","Natural gas","ktoe","1324"
"Fuels Used in Electricity Production","1996","Sum of all renewable energies","ktoe","70"
"Fuels Used in Electricity Production","1996","Hydro","ktoe","62"
"Fuels Used in Electricity Production","1996","Wind","ktoe","1"
"Fuels Used in Electricity Production","1996","Biomass","ktoe","0"
"Fuels Used in Electricity Production","1996","Landfill gas","ktoe","7"
"Fuels Used in Electricity Production","1996","Biogas","ktoe","0"
"Fuels Used in Electricity Production","1996","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","1996","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","1996","Electricity net Imports","ktoe","-11"
"Fuels Used in Electricity Production","1997","Sum of all fuel products","ktoe","4298"
"Fuels Used in Electricity Production","1997","Sum of all coal products","ktoe","1443"
"Fuels Used in Electricity Production","1997","Bituminous coal","ktoe","1443"
"Fuels Used in Electricity Production","1997","Sum of all peat products","ktoe","561"
"Fuels Used in Electricity Production","1997","Milled peat","ktoe","552"
"Fuels Used in Electricity Production","1997","Sod peat","ktoe","8"
"Fuels Used in Electricity Production","1997","Sum of all petroleum products","ktoe","821"
"Fuels Used in Electricity Production","1997","Refinery gas","ktoe","10"
"Fuels Used in Electricity Production","1997","Fuel Oil","ktoe","800"
"Fuels Used in Electricity Production","1997","LPG","ktoe","0"
"Fuels Used in Electricity Production","1997","Gasoil/diesel/DERV","ktoe","11"
"Fuels Used in Electricity Production","1997","Natural gas","ktoe","1391"
"Fuels Used in Electricity Production","1997","Sum of all renewable energies","ktoe","84"
"Fuels Used in Electricity Production","1997","Hydro","ktoe","58"
"Fuels Used in Electricity Production","1997","Wind","ktoe","4"
"Fuels Used in Electricity Production","1997","Biomass","ktoe","0"
"Fuels Used in Electricity Production","1997","Landfill gas","ktoe","22"
"Fuels Used in Electricity Production","1997","Biogas","ktoe","0"
"Fuels Used in Electricity Production","1997","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","1997","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","1997","Electricity net Imports","ktoe","-1"
"Fuels Used in Electricity Production","1998","Sum of all fuel products","ktoe","4581"
"Fuels Used in Electricity Production","1998","Sum of all coal products","ktoe","1466"
"Fuels Used in Electricity Production","1998","Bituminous coal","ktoe","1466"
"Fuels Used in Electricity Production","1998","Sum of all peat products","ktoe","528"
"Fuels Used in Electricity Production","1998","Milled peat","ktoe","524"
"Fuels Used in Electricity Production","1998","Sod peat","ktoe","4"
"Fuels Used in Electricity Production","1998","Sum of all petroleum products","ktoe","1115"
"Fuels Used in Electricity Production","1998","Refinery gas","ktoe","9"
"Fuels Used in Electricity Production","1998","Fuel Oil","ktoe","1091"
"Fuels Used in Electricity Production","1998","LPG","ktoe","0"
"Fuels Used in Electricity Production","1998","Gasoil/diesel/DERV","ktoe","14"
"Fuels Used in Electricity Production","1998","Natural gas","ktoe","1350"
"Fuels Used in Electricity Production","1998","Sum of all renewable energies","ktoe","114"
"Fuels Used in Electricity Production","1998","Hydro","ktoe","79"
"Fuels Used in Electricity Production","1998","Wind","ktoe","15"
"Fuels Used in Electricity Production","1998","Biomass","ktoe","0"
"Fuels Used in Electricity Production","1998","Landfill gas","ktoe","21"
"Fuels Used in Electricity Production","1998","Biogas","ktoe","0"
"Fuels Used in Electricity Production","1998","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","1998","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","1998","Electricity net Imports","ktoe","7"
"Fuels Used in Electricity Production","1999","Sum of all fuel products","ktoe","4842"
"Fuels Used in Electricity Production","1999","Sum of all coal products","ktoe","1268"
"Fuels Used in Electricity Production","1999","Bituminous coal","ktoe","1268"
"Fuels Used in Electricity Production","1999","Sum of all peat products","ktoe","528"
"Fuels Used in Electricity Production","1999","Milled peat","ktoe","524"
"Fuels Used in Electricity Production","1999","Sod peat","ktoe","4"
"Fuels Used in Electricity Production","1999","Sum of all petroleum products","ktoe","1401"
"Fuels Used in Electricity Production","1999","Refinery gas","ktoe","12"
"Fuels Used in Electricity Production","1999","Fuel Oil","ktoe","1363"
"Fuels Used in Electricity Production","1999","LPG","ktoe","0"
"Fuels Used in Electricity Production","1999","Gasoil/diesel/DERV","ktoe","26"
"Fuels Used in Electricity Production","1999","Natural gas","ktoe","1512"
"Fuels Used in Electricity Production","1999","Sum of all renewable energies","ktoe","112"
"Fuels Used in Electricity Production","1999","Hydro","ktoe","73"
"Fuels Used in Electricity Production","1999","Wind","ktoe","16"
"Fuels Used in Electricity Production","1999","Biomass","ktoe","0"
"Fuels Used in Electricity Production","1999","Landfill gas","ktoe","23"
"Fuels Used in Electricity Production","1999","Biogas","ktoe","0"
"Fuels Used in Electricity Production","1999","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","1999","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","1999","Electricity net Imports","ktoe","21"
"Fuels Used in Electricity Production","2000","Sum of all fuel products","ktoe","4914"
"Fuels Used in Electricity Production","2000","Sum of all coal products","ktoe","1430"
"Fuels Used in Electricity Production","2000","Bituminous coal","ktoe","1430"
"Fuels Used in Electricity Production","2000","Sum of all peat products","ktoe","491"
"Fuels Used in Electricity Production","2000","Milled peat","ktoe","491"
"Fuels Used in Electricity Production","2000","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2000","Sum of all petroleum products","ktoe","1039"
"Fuels Used in Electricity Production","2000","Refinery gas","ktoe","12"
"Fuels Used in Electricity Production","2000","Fuel Oil","ktoe","998"
"Fuels Used in Electricity Production","2000","LPG","ktoe","0"
"Fuels Used in Electricity Production","2000","Gasoil/diesel/DERV","ktoe","29"
"Fuels Used in Electricity Production","2000","Natural gas","ktoe","1828"
"Fuels Used in Electricity Production","2000","Sum of all renewable energies","ktoe","117"
"Fuels Used in Electricity Production","2000","Hydro","ktoe","73"
"Fuels Used in Electricity Production","2000","Wind","ktoe","21"
"Fuels Used in Electricity Production","2000","Biomass","ktoe","0"
"Fuels Used in Electricity Production","2000","Landfill gas","ktoe","24"
"Fuels Used in Electricity Production","2000","Biogas","ktoe","0"
"Fuels Used in Electricity Production","2000","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2000","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2000","Electricity net Imports","ktoe","8"
"Fuels Used in Electricity Production","2001","Sum of all fuel products","ktoe","5237"
"Fuels Used in Electricity Production","2001","Sum of all coal products","ktoe","1517"
"Fuels Used in Electricity Production","2001","Bituminous coal","ktoe","1517"
"Fuels Used in Electricity Production","2001","Sum of all peat products","ktoe","549"
"Fuels Used in Electricity Production","2001","Milled peat","ktoe","549"
"Fuels Used in Electricity Production","2001","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2001","Sum of all petroleum products","ktoe","1232"
"Fuels Used in Electricity Production","2001","Refinery gas","ktoe","12"
"Fuels Used in Electricity Production","2001","Fuel Oil","ktoe","1195"
"Fuels Used in Electricity Production","2001","LPG","ktoe","0"
"Fuels Used in Electricity Production","2001","Gasoil/diesel/DERV","ktoe","26"
"Fuels Used in Electricity Production","2001","Natural gas","ktoe","1855"
"Fuels Used in Electricity Production","2001","Sum of all renewable energies","ktoe","104"
"Fuels Used in Electricity Production","2001","Hydro","ktoe","51"
"Fuels Used in Electricity Production","2001","Wind","ktoe","29"
"Fuels Used in Electricity Production","2001","Biomass","ktoe","0"
"Fuels Used in Electricity Production","2001","Landfill gas","ktoe","24"
"Fuels Used in Electricity Production","2001","Biogas","ktoe","0"
"Fuels Used in Electricity Production","2001","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2001","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2001","Electricity net Imports","ktoe","-22"
"Fuels Used in Electricity Production","2002","Sum of all fuel products","ktoe","5163"
"Fuels Used in Electricity Production","2002","Sum of all coal products","ktoe","1468"
"Fuels Used in Electricity Production","2002","Bituminous coal","ktoe","1468"
"Fuels Used in Electricity Production","2002","Sum of all peat products","ktoe","554"
"Fuels Used in Electricity Production","2002","Milled peat","ktoe","554"
"Fuels Used in Electricity Production","2002","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2002","Sum of all petroleum products","ktoe","898"
"Fuels Used in Electricity Production","2002","Refinery gas","ktoe","8"
"Fuels Used in Electricity Production","2002","Fuel Oil","ktoe","870"
"Fuels Used in Electricity Production","2002","LPG","ktoe","0"
"Fuels Used in Electricity Production","2002","Gasoil/diesel/DERV","ktoe","20"
"Fuels Used in Electricity Production","2002","Natural gas","ktoe","2069"
"Fuels Used in Electricity Production","2002","Sum of all renewable energies","ktoe","131"
"Fuels Used in Electricity Production","2002","Hydro","ktoe","78"
"Fuels Used in Electricity Production","2002","Wind","ktoe","33"
"Fuels Used in Electricity Production","2002","Biomass","ktoe","0"
"Fuels Used in Electricity Production","2002","Landfill gas","ktoe","19"
"Fuels Used in Electricity Production","2002","Biogas","ktoe","0"
"Fuels Used in Electricity Production","2002","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2002","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2002","Electricity net Imports","ktoe","43"
"Fuels Used in Electricity Production","2003","Sum of all fuel products","ktoe","5010"
"Fuels Used in Electricity Production","2003","Sum of all coal products","ktoe","1327"
"Fuels Used in Electricity Production","2003","Bituminous coal","ktoe","1327"
"Fuels Used in Electricity Production","2003","Sum of all peat products","ktoe","511"
"Fuels Used in Electricity Production","2003","Milled peat","ktoe","511"
"Fuels Used in Electricity Production","2003","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2003","Sum of all petroleum products","ktoe","607"
"Fuels Used in Electricity Production","2003","Refinery gas","ktoe","8"
"Fuels Used in Electricity Production","2003","Fuel Oil","ktoe","571"
"Fuels Used in Electricity Production","2003","LPG","ktoe","0"
"Fuels Used in Electricity Production","2003","Gasoil/diesel/DERV","ktoe","28"
"Fuels Used in Electricity Production","2003","Natural gas","ktoe","2356"
"Fuels Used in Electricity Production","2003","Sum of all renewable energies","ktoe","109"
"Fuels Used in Electricity Production","2003","Hydro","ktoe","51"
"Fuels Used in Electricity Production","2003","Wind","ktoe","39"
"Fuels Used in Electricity Production","2003","Biomass","ktoe","0"
"Fuels Used in Electricity Production","2003","Landfill gas","ktoe","16"
"Fuels Used in Electricity Production","2003","Biogas","ktoe","2"
"Fuels Used in Electricity Production","2003","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2003","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2003","Electricity net Imports","ktoe","100"
"Fuels Used in Electricity Production","2004","Sum of all fuel products","ktoe","4992"
"Fuels Used in Electricity Production","2004","Sum of all coal products","ktoe","1365"
"Fuels Used in Electricity Production","2004","Bituminous coal","ktoe","1365"
"Fuels Used in Electricity Production","2004","Sum of all peat products","ktoe","337"
"Fuels Used in Electricity Production","2004","Milled peat","ktoe","337"
"Fuels Used in Electricity Production","2004","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2004","Sum of all petroleum products","ktoe","769"
"Fuels Used in Electricity Production","2004","Refinery gas","ktoe","8"
"Fuels Used in Electricity Production","2004","Fuel Oil","ktoe","721"
"Fuels Used in Electricity Production","2004","LPG","ktoe","0"
"Fuels Used in Electricity Production","2004","Gasoil/diesel/DERV","ktoe","39"
"Fuels Used in Electricity Production","2004","Natural gas","ktoe","2251"
"Fuels Used in Electricity Production","2004","Sum of all renewable energies","ktoe","135"
"Fuels Used in Electricity Production","2004","Hydro","ktoe","54"
"Fuels Used in Electricity Production","2004","Wind","ktoe","56"
"Fuels Used in Electricity Production","2004","Biomass","ktoe","2"
"Fuels Used in Electricity Production","2004","Landfill gas","ktoe","20"
"Fuels Used in Electricity Production","2004","Biogas","ktoe","2"
"Fuels Used in Electricity Production","2004","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2004","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2004","Electricity net Imports","ktoe","135"
"Fuels Used in Electricity Production","2005","Sum of all fuel products","ktoe","5112"
"Fuels Used in Electricity Production","2005","Sum of all coal products","ktoe","1422"
"Fuels Used in Electricity Production","2005","Bituminous coal","ktoe","1422"
"Fuels Used in Electricity Production","2005","Sum of all peat products","ktoe","496"
"Fuels Used in Electricity Production","2005","Milled peat","ktoe","496"
"Fuels Used in Electricity Production","2005","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2005","Sum of all petroleum products","ktoe","794"
"Fuels Used in Electricity Production","2005","Refinery gas","ktoe","8"
"Fuels Used in Electricity Production","2005","Fuel Oil","ktoe","718"
"Fuels Used in Electricity Production","2005","LPG","ktoe","0"
"Fuels Used in Electricity Production","2005","Gasoil/diesel/DERV","ktoe","68"
"Fuels Used in Electricity Production","2005","Natural gas","ktoe","2044"
"Fuels Used in Electricity Production","2005","Sum of all renewable energies","ktoe","180"
"Fuels Used in Electricity Production","2005","Hydro","ktoe","54"
"Fuels Used in Electricity Production","2005","Wind","ktoe","96"
"Fuels Used in Electricity Production","2005","Biomass","ktoe","2"
"Fuels Used in Electricity Production","2005","Landfill gas","ktoe","25"
"Fuels Used in Electricity Production","2005","Biogas","ktoe","2"
"Fuels Used in Electricity Production","2005","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2005","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2005","Electricity net Imports","ktoe","176"
"Fuels Used in Electricity Production","2006","Sum of all fuel products","ktoe","5163"
"Fuels Used in Electricity Production","2006","Sum of all coal products","ktoe","1217"
"Fuels Used in Electricity Production","2006","Bituminous coal","ktoe","1217"
"Fuels Used in Electricity Production","2006","Sum of all peat products","ktoe","462"
"Fuels Used in Electricity Production","2006","Milled peat","ktoe","462"
"Fuels Used in Electricity Production","2006","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2006","Sum of all petroleum products","ktoe","686"
"Fuels Used in Electricity Production","2006","Refinery gas","ktoe","7"
"Fuels Used in Electricity Production","2006","Fuel Oil","ktoe","625"
"Fuels Used in Electricity Production","2006","LPG","ktoe","0"
"Fuels Used in Electricity Production","2006","Gasoil/diesel/DERV","ktoe","54"
"Fuels Used in Electricity Production","2006","Natural gas","ktoe","2411"
"Fuels Used in Electricity Production","2006","Sum of all renewable energies","ktoe","233"
"Fuels Used in Electricity Production","2006","Hydro","ktoe","62"
"Fuels Used in Electricity Production","2006","Wind","ktoe","139"
"Fuels Used in Electricity Production","2006","Biomass","ktoe","3"
"Fuels Used in Electricity Production","2006","Landfill gas","ktoe","25"
"Fuels Used in Electricity Production","2006","Biogas","ktoe","4"
"Fuels Used in Electricity Production","2006","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2006","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2006","Electricity net Imports","ktoe","153"
"Fuels Used in Electricity Production","2007","Sum of all fuel products","ktoe","5148"
"Fuels Used in Electricity Production","2007","Sum of all coal products","ktoe","1172"
"Fuels Used in Electricity Production","2007","Bituminous coal","ktoe","1172"
"Fuels Used in Electricity Production","2007","Sum of all peat products","ktoe","457"
"Fuels Used in Electricity Production","2007","Milled peat","ktoe","457"
"Fuels Used in Electricity Production","2007","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2007","Sum of all petroleum products","ktoe","398"
"Fuels Used in Electricity Production","2007","Refinery gas","ktoe","8"
"Fuels Used in Electricity Production","2007","Fuel Oil","ktoe","376"
"Fuels Used in Electricity Production","2007","LPG","ktoe","0"
"Fuels Used in Electricity Production","2007","Gasoil/diesel/DERV","ktoe","14"
"Fuels Used in Electricity Production","2007","Natural gas","ktoe","2737"
"Fuels Used in Electricity Production","2007","Sum of all renewable energies","ktoe","270"
"Fuels Used in Electricity Production","2007","Hydro","ktoe","57"
"Fuels Used in Electricity Production","2007","Wind","ktoe","168"
"Fuels Used in Electricity Production","2007","Biomass","ktoe","2"
"Fuels Used in Electricity Production","2007","Landfill gas","ktoe","36"
"Fuels Used in Electricity Production","2007","Biogas","ktoe","5"
"Fuels Used in Electricity Production","2007","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2007","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2007","Electricity net Imports","ktoe","114"
"Fuels Used in Electricity Production","2008","Sum of all fuel products","ktoe","5115"
"Fuels Used in Electricity Production","2008","Sum of all coal products","ktoe","991"
"Fuels Used in Electricity Production","2008","Bituminous coal","ktoe","991"
"Fuels Used in Electricity Production","2008","Sum of all peat products","ktoe","578"
"Fuels Used in Electricity Production","2008","Milled peat","ktoe","578"
"Fuels Used in Electricity Production","2008","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2008","Sum of all petroleum products","ktoe","355"
"Fuels Used in Electricity Production","2008","Refinery gas","ktoe","5"
"Fuels Used in Electricity Production","2008","Fuel Oil","ktoe","339"
"Fuels Used in Electricity Production","2008","LPG","ktoe","0"
"Fuels Used in Electricity Production","2008","Gasoil/diesel/DERV","ktoe","11"
"Fuels Used in Electricity Production","2008","Natural gas","ktoe","2811"
"Fuels Used in Electricity Production","2008","Sum of all renewable energies","ktoe","341"
"Fuels Used in Electricity Production","2008","Hydro","ktoe","83"
"Fuels Used in Electricity Production","2008","Wind","ktoe","207"
"Fuels Used in Electricity Production","2008","Biomass","ktoe","6"
"Fuels Used in Electricity Production","2008","Landfill gas","ktoe","39"
"Fuels Used in Electricity Production","2008","Biogas","ktoe","5"
"Fuels Used in Electricity Production","2008","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2008","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2008","Electricity net Imports","ktoe","39"
"Fuels Used in Electricity Production","2009","Sum of all fuel products","ktoe","4774"
"Fuels Used in Electricity Production","2009","Sum of all coal products","ktoe","775"
"Fuels Used in Electricity Production","2009","Bituminous coal","ktoe","775"
"Fuels Used in Electricity Production","2009","Sum of all peat products","ktoe","567"
"Fuels Used in Electricity Production","2009","Milled peat","ktoe","567"
"Fuels Used in Electricity Production","2009","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2009","Sum of all petroleum products","ktoe","214"
"Fuels Used in Electricity Production","2009","Refinery gas","ktoe","6"
"Fuels Used in Electricity Production","2009","Fuel Oil","ktoe","200"
